shipment_id,carrier,mode,origin_port,dest_port,season,distance_km,planned_transit_days,origin_congestion_idx,dest_congestion_idx,customs_complexity,num_customs_stops,weather_risk,carrier_reliability_score,shipment_value_usd,is_hazmat,num_prior_shipments_route,is_delayed,delay_days
SHP100047,MSC,Sea,Shanghai,Sydney,Q4,16049.8,32.2,0.54,0.333,0.851,4,0.619,0.78,100338.01,0,7,0,0.0
SHP100048,ONE_Line,Rail,Dubai,Long_Beach,Q4,343.9,2.7,0.198,1.183,0.56,0,0.377,0.72,1157.98,0,3,0,0.0
SHP100049,Hapag_Lloyd,Sea,Los_Angeles,Santos,Q4,15531.7,32.1,0.782,0.364,0.166,2,0.058,0.82,1716.71,0,10,0,0.0
SHP100050,MSC,Sea,Los_Angeles,New_York,Q3,9302.0,18.4,0.666,0.134,0.795,1,0.082,0.78,65055.49,0,10,0,0.0
SHP100051,MaerskLine,Air,Singapore,Vancouver,Q4,4117.7,4.5,1.162,0.702,0.777,1,0.761,0.85,46972.7,0,6,0,0.0
SHP100052,COSCO,Air,Ningbo,Sydney,Q2,6855.5,4.3,0.523,0.222,0.433,1,0.465,0.68,65038.83,0,11,0,0.0
SHP100053,MSC,Sea,Singapore,New_York,Q1,17709.4,33.4,0.861,0.116,0.825,1,0.977,0.78,3659.77,0,9,1,14.97
SHP100054,Evergreen,Road,Dubai,Santos,Q4,1688.0,6.5,0.198,0.364,0.452,2,0.082,0.7,1575.16,0,9,0,0.0
SHP100055,ONE_Line,Sea,Antwerp,Le_Havre,Q3,13181.4,25.6,0.912,0.512,0.68,0,0.031,0.72,5146.63,0,10,1,37.3
SHP100056,ONE_Line,Air,Rotterdam,Felixstowe,Q2,18291.1,5.7,0.617,0.689,0.623,0,0.733,0.72,2414.88,0,9,0,0.0
SHP100057,ONE_Line,Air,Ningbo,Le_Havre,Q4,5533.6,4.2,0.784,0.602,0.325,1,0.97,0.72,16692.87,0,6,1,6.61
SHP100058,MaerskLine,Air,Busan,Mumbai,Q1,16961.3,7.2,0.225,0.245,0.585,1,0.112,0.85,5533.07,0,6,0,0.0
SHP100059,ONE_Line,Air,Los_Angeles,Mumbai,Q2,19319.8,5.3,0.521,0.221,0.952,0,0.868,0.72,16788.33,0,5,1,4.74
SHP100060,Hapag_Lloyd,Sea,Busan,Sydney,Q3,14006.2,29.0,0.259,0.284,0.945,2,0.869,0.82,33646.3,0,10,1,14.37
SHP100061,Hapag_Lloyd,Sea,Los_Angeles,Long_Beach,Q1,15421.2,31.8,0.579,0.876,0.438,2,0.869,0.82,10446.62,0,10,1,17.83
SHP100062,MaerskLine,Sea,Hong_Kong,Vancouver,Q4,17019.8,34.7,0.9,0.702,0.814,0,0.149,0.85,25841.65,0,12,0,0.0
SHP100063,ONE_Line,Sea,Busan,Santos,Q2,6492.2,15.2,0.202,0.243,0.539,1,0.716,0.72,5629.32,0,6,0,0.0
SHP100064,MSC,Road,Los_Angeles,Santos,Q2,2437.4,7.1,0.521,0.243,0.043,3,0.884,0.78,4309.08,0,11,0,0.0
SHP100065,Evergreen,Sea,Singapore,New_York,Q3,10939.5,21.4,0.99,0.134,0.312,0,0.206,0.7,50400.92,0,6,0,0.0
SHP100066,MaerskLine,Air,Dubai,Vancouver,Q4,16464.8,6.5,0.198,0.702,0.337,2,0.645,0.85,39124.51,0,8,0,0.0
SHP100067,MSC,Sea,Hamburg,Long_Beach,Q3,7880.3,16.4,0.259,1.007,0.995,1,0.58,0.78,1867.96,1,6,1,13.87
SHP100068,Evergreen,Sea,Antwerp,Sydney,Q1,14875.0,30.4,0.793,0.247,0.244,1,0.257,0.7,123922.53,0,5,0,0.0
SHP100069,MaerskLine,Sea,Ningbo,Le_Havre,Q1,6457.7,13.9,0.581,0.446,0.447,2,0.497,0.85,422079.13,0,10,0,0.0
SHP100070,MSC,Road,Singapore,Durban,Q1,1768.0,5.7,0.861,0.333,0.314,1,0.898,0.78,158894.29,0,7,1,15.0
SHP100071,COSCO,Sea,Hamburg,Long_Beach,Q4,7613.6,16.0,0.303,1.183,0.564,0,0.212,0.68,20082.61,0,6,0,0.0
SHP100072,COSCO,Air,Los_Angeles,Tokyo,Q4,16372.4,6.5,0.782,0.464,0.306,0,0.527,0.68,14136.29,0,8,0,0.0
SHP100073,Evergreen,Air,Dubai,Durban,Q4,10938.5,4.1,0.198,0.45,0.012,0,0.976,0.7,134486.98,1,7,0,0.0
SHP100074,COSCO,Air,Rotterdam,Le_Havre,Q1,8192.3,4.2,0.686,0.446,0.785,3,0.688,0.68,15147.92,0,9,1,13.71
SHP100075,Hapag_Lloyd,Sea,Antwerp,Le_Havre,Q3,14468.3,27.5,0.912,0.512,0.071,0,0.957,0.82,91587.51,0,6,0,0.0
SHP100076,ONE_Line,Sea,Shanghai,Vancouver,Q4,4942.9,12.9,0.54,0.702,0.667,0,0.255,0.72,5241.06,0,9,0,0.0
SHP100077,MSC,Sea,Shanghai,Vancouver,Q2,4880.0,11.0,0.36,0.468,0.432,1,0.943,0.78,4647.83,0,15,1,11.49
SHP100078,MSC,Sea,Busan,Santos,Q3,19320.0,37.6,0.259,0.31,0.151,1,0.758,0.78,94896.56,0,5,1,2.74
SHP100079,CMA_CGM,Road,Antwerp,Felixstowe,Q4,2651.5,7.8,1.07,1.034,0.311,3,0.375,0.75,27782.84,0,11,1,4.75
SHP100080,MSC,Sea,Busan,Sydney,Q4,3978.3,8.3,0.304,0.333,0.167,0,0.388,0.78,12258.35,0,5,0,0.0
SHP100081,COSCO,Road,Shanghai,Felixstowe,Q2,2116.7,7.1,0.36,0.689,0.982,0,0.825,0.68,24879.0,0,6,1,6.36
SHP100082,COSCO,Rail,Hamburg,Tokyo,Q1,2855.9,7.3,0.225,0.343,0.566,1,0.7,0.68,36859.21,0,9,1,18.0
SHP100083,Evergreen,Sea,Shanghai,Vancouver,Q1,637.1,2.3,0.4,0.52,0.225,0,0.399,0.7,278100.64,0,2,0,0.0
SHP100084,Evergreen,Sea,Antwerp,Durban,Q4,7738.5,16.4,1.07,0.45,0.845,0,0.156,0.7,183237.38,0,8,0,0.0
SHP100085,ONE_Line,Rail,Hong_Kong,Mumbai,Q2,520.4,4.2,0.6,0.221,0.191,0,0.309,0.72,321970.73,1,4,0,0.0
SHP100086,MaerskLine,Sea,Singapore,Durban,Q3,1819.5,6.4,0.99,0.383,0.544,0,0.458,0.85,20094.02,0,11,0,0.0
SHP100087,COSCO,Sea,Los_Angeles,Santos,Q2,849.9,2.9,0.521,0.243,0.66,0,0.255,0.68,321202.72,0,8,0,0.0
SHP100088,CMA_CGM,Sea,Rotterdam,Mumbai,Q3,4314.4,9.4,0.788,0.282,0.094,1,0.276,0.75,7144.48,0,9,0,0.0
SHP100089,Hapag_Lloyd,Rail,Busan,Santos,Q2,1884.4,5.0,0.202,0.243,0.882,1,0.967,0.82,13447.73,1,6,0,0.0
SHP100090,MaerskLine,Sea,Los_Angeles,Long_Beach,Q2,2048.4,6.9,0.521,0.788,0.187,3,0.314,0.85,18527.43,0,8,0,0.0
SHP100091,Evergreen,Sea,Ningbo,Tokyo,Q4,11756.4,24.6,0.784,0.464,0.806,1,0.031,0.7,92574.45,0,3,1,9.64
SHP100092,Evergreen,Sea,Busan,Felixstowe,Q1,6427.0,14.6,0.225,0.766,0.938,4,0.907,0.7,61352.66,0,8,1,17.41
SHP100093,MaerskLine,Sea,Rotterdam,Felixstowe,Q2,14136.6,29.2,0.617,0.689,0.982,2,0.533,0.85,49539.95,0,4,1,25.21
SHP100094,MaerskLine,Sea,Ningbo,Santos,Q3,18106.5,36.5,0.668,0.31,0.668,2,0.079,0.85,4614.97,0,7,0,0.0
SHP100095,Hapag_Lloyd,Sea,Ningbo,Santos,Q3,16671.1,33.9,0.668,0.31,0.572,1,0.317,0.82,14877.06,0,10,0,0.0
SHP100096,MSC,Sea,Ningbo,New_York,Q4,12865.0,24.6,0.784,0.157,0.254,1,0.046,0.78,2540.57,0,8,0,0.0
SHP100097,ONE_Line,Road,Los_Angeles,New_York,Q2,1442.3,4.9,0.521,0.105,0.219,1,0.278,0.72,147280.33,0,6,0,0.0
SHP100098,COSCO,Rail,Antwerp,Vancouver,Q1,2170.7,7.2,0.793,0.52,0.309,2,0.002,0.68,49931.54,0,5,0,0.0
SHP100099,MSC,Sea,Antwerp,Santos,Q1,1884.6,4.7,0.793,0.27,0.355,3,0.594,0.78,1165.36,0,8,0,0.0
SHP100100,MaerskLine,Sea,Hong_Kong,Mumbai,Q1,16256.4,31.2,0.666,0.245,0.467,1,0.387,0.85,181870.0,0,9,1,9.32
SHP100101,MSC,Sea,Busan,Tokyo,Q4,1373.2,5.8,0.304,0.464,0.947,1,0.379,0.78,1141.69,0,9,1,3.88
SHP100102,ONE_Line,Sea,Hong_Kong,Felixstowe,Q2,6607.5,13.5,0.6,0.689,0.488,0,0.835,0.72,10121.14,0,7,1,63.31
SHP100103,Hapag_Lloyd,Road,Rotterdam,Felixstowe,Q2,2497.8,7.7,0.617,0.689,0.177,2,0.831,0.82,28824.07,0,10,0,0.0
SHP100104,COSCO,Road,Busan,Santos,Q2,760.5,5.3,0.202,0.243,0.909,3,0.791,0.68,2319.08,0,11,0,0.0
SHP100105,MaerskLine,Sea,Shanghai,Felixstowe,Q1,19624.4,37.9,0.4,0.766,0.828,3,0.109,0.85,184198.97,0,8,1,24.59
SHP100106,MSC,Air,Busan,Long_Beach,Q1,5935.8,3.0,0.225,0.876,0.957,0,0.998,0.78,63635.57,0,5,1,23.86
SHP100107,COSCO,Rail,Antwerp,Tokyo,Q1,2197.1,6.2,0.793,0.343,0.687,0,0.306,0.68,29577.88,0,3,1,6.23
SHP100108,COSCO,Rail,Singapore,Long_Beach,Q2,1268.3,4.4,0.775,0.788,0.232,0,0.803,0.68,289343.06,0,10,0,0.0
SHP100109,ONE_Line,Sea,Los_Angeles,Vancouver,Q2,1899.6,6.5,0.521,0.468,0.242,3,0.52,0.72,2584.42,0,5,0,0.0
SHP100110,MSC,Rail,Singapore,Sydney,Q2,2697.6,8.1,0.775,0.222,0.467,0,0.94,0.78,1801.35,1,11,1,20.55
SHP100111,Evergreen,Sea,Dubai,Mumbai,Q1,17572.5,33.5,0.146,0.245,0.278,0,0.676,0.7,316125.27,0,8,0,0.0
SHP100112,CMA_CGM,Sea,Dubai,Le_Havre,Q1,8621.8,19.1,0.146,0.446,0.85,0,0.657,0.75,18651.67,0,9,1,16.57
SHP100113,CMA_CGM,Air,Shanghai,Sydney,Q2,10559.3,4.1,0.36,0.222,0.835,0,0.379,0.75,8300.52,0,6,0,0.0
SHP100114,ONE_Line,Rail,Dubai,New_York,Q4,481.4,4.5,0.198,0.157,0.575,0,0.383,0.72,9960.69,0,12,0,0.0
SHP100115,Evergreen,Rail,Antwerp,Sydney,Q3,978.5,3.2,0.912,0.284,0.228,0,0.484,0.7,97213.65,0,9,0,0.0
SHP100116,MSC,Sea,Rotterdam,Mumbai,Q4,12901.1,25.6,0.926,0.331,0.674,0,0.345,0.78,269659.43,0,5,0,0.0
SHP100117,CMA_CGM,Sea,Shanghai,Long_Beach,Q2,10828.4,21.4,0.36,0.788,0.501,1,0.275,0.75,138939.37,0,5,1,16.55
SHP100118,CMA_CGM,Sea,Antwerp,Durban,Q2,11606.0,22.9,0.714,0.3,0.437,1,0.622,0.75,395168.3,0,13,0,0.0
SHP100119,MaerskLine,Road,Los_Angeles,Mumbai,Q4,2786.0,6.8,0.782,0.331,0.634,0,0.322,0.85,177771.19,0,5,0,0.0
SHP100120,Evergreen,Road,Rotterdam,New_York,Q4,1586.9,5.3,0.926,0.157,0.635,0,0.033,0.7,1550.32,0,10,0,0.0
SHP100121,MaerskLine,Sea,Singapore,Vancouver,Q1,4885.4,11.2,0.861,0.52,0.719,1,0.326,0.85,169051.37,0,12,1,3.33
SHP100122,MaerskLine,Sea,Antwerp,Vancouver,Q3,6977.7,15.8,0.912,0.598,0.771,1,0.876,0.85,27849.42,0,4,0,0.0
SHP100123,ONE_Line,Sea,Ningbo,Durban,Q4,4909.4,10.8,0.784,0.45,0.304,0,0.001,0.72,87209.52,1,10,1,1.66
SHP100124,Evergreen,Rail,Singapore,Le_Havre,Q1,2861.4,6.9,0.861,0.446,0.265,0,0.297,0.7,79741.46,0,13,0,0.0
SHP100125,ONE_Line,Air,Busan,Felixstowe,Q1,14172.8,6.3,0.225,0.766,0.562,1,0.381,0.72,2916.71,0,4,0,0.0
SHP100126,ONE_Line,Road,Dubai,Santos,Q4,2144.1,7.3,0.198,0.364,0.546,1,0.505,0.72,81693.01,0,7,0,0.0
SHP100127,Hapag_Lloyd,Sea,Antwerp,Tokyo,Q3,17088.3,35.0,0.912,0.395,0.628,0,0.163,0.82,3366.02,0,9,0,0.0
SHP100128,ONE_Line,Sea,Singapore,Tokyo,Q4,19650.0,39.1,1.162,0.464,0.733,0,0.781,0.72,121980.06,0,7,1,16.15
SHP100129,COSCO,Sea,Shanghai,Tokyo,Q3,12306.9,24.9,0.46,0.395,0.74,2,0.144,0.68,39032.81,0,7,0,0.0
SHP100130,MaerskLine,Rail,Hamburg,Le_Havre,Q3,886.2,4.6,0.259,0.512,0.866,1,0.155,0.85,317558.57,0,6,0,0.0
SHP100131,MaerskLine,Sea,Rotterdam,New_York,Q2,8281.2,18.6,0.617,0.105,0.189,2,0.008,0.85,14786.9,0,6,0,0.0
SHP100132,MSC,Rail,Antwerp,Tokyo,Q1,2473.3,6.1,0.793,0.343,0.912,0,0.356,0.78,1205.78,0,10,0,0.0
SHP100133,ONE_Line,Sea,Hamburg,New_York,Q3,14889.4,29.6,0.259,0.134,0.068,2,0.538,0.72,5503.4,0,11,0,0.0
SHP100134,MaerskLine,Sea,Hamburg,Tokyo,Q1,9655.7,18.6,0.225,0.343,0.21,0,0.713,0.85,1174.92,0,10,1,27.44
SHP100135,Hapag_Lloyd,Sea,Los_Angeles,Vancouver,Q1,16648.3,31.9,0.579,0.52,0.809,2,0.271,0.82,4405.91,0,10,0,0.0
SHP100136,Evergreen,Air,Los_Angeles,Tokyo,Q1,3723.0,1.8,0.579,0.343,0.719,1,0.161,0.7,1810.44,0,5,0,0.0
SHP100137,Evergreen,Sea,Rotterdam,Sydney,Q3,15113.1,30.2,0.788,0.284,0.986,2,0.679,0.7,12980.3,0,6,1,12.38
SHP100138,MaerskLine,Sea,Busan,Durban,Q1,13738.5,28.3,0.225,0.333,0.951,3,0.408,0.85,222730.68,0,11,1,6.99
SHP100139,ONE_Line,Sea,Antwerp,Long_Beach,Q3,5977.2,12.5,0.912,1.007,0.042,1,0.743,0.72,177649.41,0,8,0,0.0
SHP100140,CMA_CGM,Rail,Los_Angeles,Santos,Q3,2004.5,7.1,0.666,0.31,0.008,0,0.662,0.75,20008.98,0,11,0,0.0
SHP100141,MaerskLine,Sea,Hamburg,Durban,Q1,5535.5,12.9,0.225,0.333,0.433,3,0.307,0.85,13224.51,0,11,0,0.0
SHP100142,ONE_Line,Rail,Hamburg,Le_Havre,Q3,1946.6,7.1,0.259,0.512,0.225,0,0.826,0.72,17653.48,0,11,0,0.0
SHP100143,CMA_CGM,Road,Antwerp,Long_Beach,Q4,1036.8,5.6,1.07,1.183,0.888,1,0.996,0.75,155203.74,0,5,1,26.33
SHP100144,CMA_CGM,Air,Shanghai,Felixstowe,Q4,17888.4,7.5,0.54,1.034,0.406,0,0.08,0.75,7137.93,0,5,0,0.0
SHP100145,CMA_CGM,Air,Busan,Durban,Q3,11828.5,6.6,0.259,0.383,0.757,0,0.707,0.75,11331.97,0,12,1,6.96
SHP100146,Evergreen,Road,Busan,Tokyo,Q1,1968.3,7.5,0.225,0.343,0.07,3,0.204,0.7,1413.82,0,5,0,0.0
SHP100147,ONE_Line,Sea,Antwerp,Durban,Q2,17691.5,34.9,0.714,0.3,0.834,1,0.741,0.72,1938.08,0,8,1,5.16
SHP100148,Evergreen,Sea,Rotterdam,Santos,Q1,17998.6,35.6,0.686,0.27,0.973,2,0.335,0.7,1639.42,1,6,1,1.97
SHP100149,COSCO,Sea,Los_Angeles,Felixstowe,Q1,15306.2,31.7,0.579,0.766,0.44,0,0.798,0.68,7766.1,0,5,0,0.0
SHP100150,ONE_Line,Road,Singapore,Sydney,Q3,2961.5,7.2,0.99,0.284,0.099,3,0.478,0.72,118579.18,0,2,1,21.97
SHP100151,Evergreen,Sea,Antwerp,Long_Beach,Q1,4219.2,9.7,0.793,0.876,0.547,2,0.045,0.7,2340.54,0,9,0,0.0
SHP100152,CMA_CGM,Rail,Antwerp,New_York,Q1,608.9,3.9,0.793,0.116,0.579,0,0.645,0.75,4354.48,0,6,0,0.0
SHP100153,MSC,Road,Hamburg,Vancouver,Q3,1756.7,4.6,0.259,0.598,0.375,1,0.087,0.78,30967.99,0,7,0,0.0
SHP100154,ONE_Line,Sea,Shanghai,New_York,Q4,9979.5,21.9,0.54,0.157,0.04,0,0.208,0.72,4577.37,0,11,0,0.0
SHP100155,Hapag_Lloyd,Sea,Shanghai,Vancouver,Q3,12495.0,26.5,0.46,0.598,0.51,1,0.035,0.82,29940.27,0,5,0,0.0
SHP100156,CMA_CGM,Sea,Shanghai,Vancouver,Q2,8145.8,18.1,0.36,0.468,0.125,1,0.677,0.75,32685.58,1,4,1,5.11
SHP100157,CMA_CGM,Sea,Antwerp,Felixstowe,Q3,5677.2,13.2,0.912,0.881,0.678,1,0.947,0.75,221711.15,0,6,0,0.0
SHP100158,MSC,Sea,Antwerp,Vancouver,Q3,17065.9,32.3,0.912,0.598,0.992,3,0.198,0.78,2949.26,0,6,1,25.48
SHP100159,CMA_CGM,Rail,Shanghai,Felixstowe,Q4,2608.4,7.0,0.54,1.034,0.717,1,0.757,0.75,6440.97,0,9,1,16.87
SHP100160,MaerskLine,Sea,Ningbo,Durban,Q1,7425.1,14.6,0.581,0.333,0.218,0,0.581,0.85,2069.62,0,8,0,0.0
SHP100161,ONE_Line,Sea,Ningbo,Long_Beach,Q1,14144.3,28.6,0.581,0.876,0.863,0,0.873,0.72,125110.65,0,6,0,0.0
SHP100162,Evergreen,Sea,Shanghai,Tokyo,Q2,4917.2,11.8,0.36,0.309,0.253,1,0.824,0.7,150870.47,0,6,0,0.0
SHP100163,Evergreen,Sea,Hamburg,New_York,Q3,6414.1,15.5,0.259,0.134,0.119,3,0.476,0.7,12663.62,0,9,0,0.0
SHP100164,CMA_CGM,Sea,Rotterdam,Durban,Q4,1412.3,4.5,0.926,0.45,0.438,3,0.532,0.75,27631.11,0,5,0,0.0
SHP100165,CMA_CGM,Sea,Antwerp,Le_Havre,Q3,4798.7,12.4,0.912,0.512,0.934,3,0.752,0.75,26576.01,0,12,1,24.65
SHP100166,CMA_CGM,Air,Hong_Kong,New_York,Q4,19332.1,6.5,0.9,0.157,0.728,0,0.671,0.75,137665.25,1,8,1,17.23
SHP100167,Evergreen,Sea,Dubai,Le_Havre,Q4,3044.8,8.2,0.198,0.602,0.442,3,0.805,0.7,1501.69,0,7,0,0.0
SHP100168,MaerskLine,Sea,Hamburg,New_York,Q3,8161.5,15.9,0.259,0.134,0.583,0,0.787,0.85,6895.31,0,10,1,7.28
SHP100169,COSCO,Road,Busan,Durban,Q4,660.4,2.4,0.304,0.45,0.626,0,0.28,0.68,8038.44,0,12,0,0.0
SHP100170,ONE_Line,Sea,Rotterdam,Tokyo,Q2,4272.0,10.7,0.617,0.309,0.26,2,0.23,0.72,12936.7,0,10,1,16.33
SHP100171,CMA_CGM,Road,Singapore,Santos,Q2,1339.7,4.4,0.775,0.243,0.564,1,0.934,0.75,68495.68,0,4,0,0.0
SHP100172,COSCO,Sea,Busan,Durban,Q3,5434.0,13.5,0.259,0.383,0.103,0,0.979,0.68,62506.97,0,11,0,0.0
SHP100173,Hapag_Lloyd,Air,Hamburg,Le_Havre,Q4,14177.0,4.5,0.303,0.602,0.997,0,0.594,0.82,12942.19,0,11,1,4.2
SHP100174,Hapag_Lloyd,Sea,Busan,Long_Beach,Q4,7148.7,16.7,0.304,1.183,0.407,0,0.715,0.82,6374.88,0,7,0,0.0
SHP100175,CMA_CGM,Road,Busan,Vancouver,Q3,1821.0,4.4,0.259,0.598,0.729,1,0.557,0.75,8573.11,0,8,0,0.0
